Comp,Crit_Think,Oral_Comm,Math,Arts,Hum,Arts_Hum,Soc_Behav1,Soc_Behav2,Soc_Behav3,Phys_Sci,Bio_Sci,Sci_Labs
,,,,,PHIL 108,FREN 282,WGS 209,WGS 209,WGS 209,,,
,,,,,PHIL 109 ,FREN 283,WGS 250,WGS 250,WGS 250,,,
,,,,,PHIL 130,FREN 285 ,,,,,,
,,,,,PHIL 140,GERM 102,,,,,,
,,,,,PHIL 200,GERM 201,,,,,,
,,,,,PHIL 201,GERM 202,,,,,,
,,,,,PHIL 203,HIST 101,,,,,,
,,,,,PHIL 204,HIST 102,,,,,,
,,,,,PHIL 205,HIST 103,,,,,,
,,,,,PHIL 206,HIST 110,,,,,,
,,,,,PHOT 150,HIST 120,,,,,,
,,,,,POL 240,HIST 210,,,,,,
,,,,,SPAN 102,HIST 230,,,,,,
,,,,,SPAN 112,HIST 235,,,,,,
,,,,,SPAN 201,HIST 241,,,,,,
,,,,,SPAN 202,HIST 242,,,,,,
,,,,,SPAN 205,HIST 245,,,,,,
,,,,,SPAN 210,HIST 246,,,,,,
,,,,,SPAN 245,HIST 250,,,,,,
,,,,,SPAN 260,HIST 255,,,,,,
,,,,,SPAN 285 ,HIST 260,,,,,,
,,,,,WGS 102,HIST 265,,,,,,
,,,,,WGS 109 ,HIST 275,,,,,,
,,,,,WGS 207 ,HUM 100,,,,,,
,,,,,WGS 209,HUM 108 ,,,,,,
,,,,,WGS 250,HUM 109 ,,,,,,
,,,,,,HUM 125 ,,,,,,
,,,,,,JAPN 102,,,,,,
,,,,,,PHIL 100,,,,,,
,,,,,,PHIL 102,,,,,,
,,,,,,PHIL 104,,,,,,
,,,,,,PHIL 105,,,,,,
,,,,,,PHIL 107,,,,,,
,,,,,,PHIL 108,,,,,,
,,,,,,PHIL 109 ,,,,,,
,,,,,,PHIL 130,,,,,,
,,,,,,PHIL 140,,,,,,
,,,,,,PHIL 200,,,,,,
,,,,,,PHIL 201,,,,,,
,,,,,,PHIL 203,,,,,,
,,,,,,PHIL 204,,,,,,
,,,,,,PHIL 205,,,,,,
,,,,,,PHIL 206,,,,,,
,,,,,,PHOT 150,,,,,,
,,,,,,POL 240,,,,,,
,,,,,,SPAN 102,,,,,,
,,,,,,SPAN 112,,,,,,
,,,,,,SPAN 201,,,,,,
,,,,,,SPAN 202,,,,,,
,,,,,,SPAN 205,,,,,,
,,,,,,SPAN 210,,,,,,
,,,,,,SPAN 245,,,,,,
,,,,,,SPAN 260,,,,,,
,,,,,,SPAN 285 ,,,,,,
,,,,,,WGS 102,,,,,,
,,,,,,WGS 109 ,,,,,,
,,,,,,WGS 207 ,,,,,,
,,,,,,WGS 209,,,,,,
,,,,,,WGS 250,,,,,,
